alcohol abuse	Alcoholic Intoxication	
C0340842	Congenital arteriovenous fistula hemorrhage	
C0340840	congenital arteriovenous fistula infection	
C0340837	congenital arteriovenous fistula occlusion	
C0521552	congenital arteriovenous fistula of kidney	
C0340843	congenital arteriovenous fistula rupture	
C0340838	congenital arteriovenous fistula stenosis	
C0340839	congenital arteriovenous fistula thrombosis	
C0332965	congenital arteriovenous fistula, nos	
C0003857	congenital arteriovenous malf	
C0003857	congenital arteriovenous malformation	
C0521549	congenital arteriovenous malformation of the gastrointestinal tract	
C0265866	congenital atresia of cardiac vein	
C0265952	congenital atresia of vein	
C0332965	congenital av - arteriovenous fistula	
C0332965	congenital av-arterioven fist	
C0003857	congenital avm	
C0917804	congenital cerebral arteriovenous malformation	
C2937219	congenital coronary arteriovenous fistula	
C0344684	congenital coronary sinus stenosis	
C0022739	congenital dysplastic angiopathies	
C0022739	congenital dysplastic angiopathy	
C4024917	Congenital encephalopathy	
C0344686	congenital enlargement of coronary sinus	
C0265867	congenital hypoplasia of cardiac vein	
comorbidity - cerebrovascular	congenital intracranial arteriovenous malformations	
C0265953	congenital phlebectasia	
C1290495	congenital portal-systemic shunt	
C1290492	congenital pulmonary vein confluence	
C1835614	congenital stiff man syndrome	
C1835614	congenital stiff person syndrome	
C0685760	congenital transposition of azygos vein	
C0265953	congenital varix	
C4511301	congenital venous malformation of skin	
C4072997	Congruous homonymous hemianopia	
C4048158	Convulsion	
C4048158	Convulsions	
C0494475	convulsions grand mal	
C0159020	convulsions in newborn	
C0159020	convulsions in the newborn 	
C0751495	convulsions local	
C0159020	convulsions neonatal	
C0159020	convulsions of newborn	
C0270851	"convulsions, benign neonatal "	
C0751494	convulsive seizure	
C0751494	convulsive seizures	
C0009995	cor triatriatum sinistrum	
C0344681	coron sinus defect in l atrium	
C0010068	coronary heart disease	
C0344681	coronary sinus defect in left atrium	
MRI abnormal	Cortical atrophy	
MRI abnormal	cortical dysplasia	
Malformations of cortical development EE	cortical dysplasia	
Malformations of cortical development	cortical malformation	
C3698239	cortical myoclonus	
C0007789	CP	
C0349604	cranial meningioma	
C1857495	craniostenosis, sagittal, with congenital heart disease, mental deficiency, and mandibular ankylosis	
C1857495	craniosynostosis with congenital heart disease and intellectual disability syndrome	
C0010280	craniotomy	
generalised epilepsy	cryptogenic general epilepsy	
generalised epilepsy	cryptogenic generalised epilepsy	
generalised epilepsy	cryptogenic generalized epilepsy	
generalised epilepsy	cryptogenic generalized epilepsy disorder	
C0079102	ct - cerebral thrombosis	
C0795687	ct - cerebral thrombosis	
CT normal	CT normal	
C3515741	CT unknown	
C0556297	current drinker	
C0270819	cursive (running) epilepsy	
C0270819	cursive reflex epilepsy - running	
C0270819	cursive seizure	
C0270819	cursive seizures	
C0038454	cva	
cerebrovascular comorbidity 	cva - cerebral artery occlusion	
cerebrovascular comorbidity 	cva - cerebral infarction	
cerebrovascular comorbidity 	cva - cerebrovascular accident	
cerebrovascular comorbidity 	cva - cerebrovascular accident due to cerebral artery occlusion	
cerebrovascular comorbidity 	cva - cerebrovascular accident due to cerebral artery occlusion (disorder)	
cerebrovascular comorbidity 	cva- cerebral artery occlusion	
cerebrovascular comorbidity 	cvd - cerebrovascular disease	
C0010823	Cytomegalovirus Infections	
C0011194	D? j?  vu	
C0556339	daily drinker	
C0393626	dancing eyes dancing feet syndrome	
C0393626	dancing eyes, dancing feet syndrome	
C0393626	dancing eyes-dancing feet syndrome	
C0036572	daytime seizures	
C0439805	debulking	
C0439805	de-bulking	
C0268226	deficiency, glycoprotein neuraminidase	
C0011194	deja vu	
C0034012	delay in sexual development and/or puberty	
C0557874	delayed cognitive development	
C0424605	delayed development	
C0557874	delayed psychomotor development	
C0034012	delayed pubertal development	
C0034012	delayed puberty	
C0034012	delayed sexual development	
dementia - comorbidity	dementia	
dementia - comorbidity	dementia alzheimer type	
dementia - comorbidity	dementia alzheimer's type	
dementia - comorbidity	dementia in alzheimer's disease	
dementia - comorbidity	dementia of the alzheimer's type	
comorbidity	dentate cerebellar ataxia	
comorbidity	dentate cerebellar atrophy	
depression - comorbidity	depression	
depression - comorbidity	Depressive episode	
comorbidity	developmental delay	
genetic	developmental delay, epilepsy, neonatal diabetes syndrome	
diabetes - comorbidity	diabetes	
C0751383	juvenile batten disease	
C0022739	klippel-trenaunay 	
C0020655	diseases, hypothalamic	
C0751383	diseases, juvenile batten	
C0020655	disorder of hypothalamus	
C0155309	disorder of optic chiasm associated with non-pituitary neoplasm	
C0155309	disorder of optic chiasm associated with other neoplasm	
C0155308	disorder of optic chiasm associated with pituitary neoplasms and disorders	
C0155308	disorders of optic chiasm associated with pituitary neoplasms and disorders	
C0349245	dissociative convulsions	
C0349245	dissociative seizure	
C0349245	dissociative seizures	
C0234428	disturbance of consciousness	
C1266177	DNET	
C1266177	DNT	
C0393702	doose syndrome	
C0393702	dooze syndrome	
comorbidity chromosomal	Down Syndrome	
generalized & focal seizure epilepsy	dravet syndrome	
DEE syndrome	"dravet syndrome, non-refractory "	
alcohol	drinks alcohol	
alcohol	drinks occasionally	
alcohol	drinks wine	
drug user	drug abuse	
drug user	drug abuser	
epilepsy 	drug refractory epilepsy	
epilepsy	drug resistant epilepsy	
provoked seizures	drug-induced epilepsy	
side effect	drug-induced myoclonus	
C0344687	ductus venosus abnormality	
C0024454	dyschondrodysplasia with hemangiomas	
C0024454	dyschondroplasia and cavernous haemangioma	
C0024454	dyschondroplasia+haemangioma	
C0270834	Dyscognitive seizures	
C1266177	Dysembryoplastic neuroepithelial tumor	
comorbidity	dysphasia	
C0264608	dysphonia of palatopharyngolaryngeal myoclonus	
C0022739	dysplastic angiopathies, congenital	
C0022739	dysplastic angiopathy, congenital	
comorbidity	dyspraxia	
C0007761	dyssynerg cerebellar myoclon	
C0393706	Early infantile epileptic encephalopathy with suppression bursts	
life stage	early menopause	
C0007761	early onset cerebellar ataxia with myoclonus	
C0393676	Early-onset benign childhood occipital epilepsy	
C0007761	early-onset cerebellar ataxia with myoclonus [hunt's ataxia]	
C0340822	ectactic vein	
C0340822	ectactic vein (disorder)	
C0151611	EEG abnormal	
C0560017	EEG normal	
C0013819	EEG unknown	
C0013819	electroencephalogram	
C1527380	electroencephalogram	
C0262469	embolic stroke	
C0262469	embolic stroke (disorder)	
C0557351	employed	
C0752304	enceph hypoxic ischemic	
C0014038	encephalitis	
C0038505	encephalocutan. angiomatosis	
C0038505	encephalocutaneous angiomatosis	
